name,job_code_prefix,proper_name,proper_name_japanese,
21 Inc.,21IN,21 Inc.,（株）21インコーポレーション,
ADK,ADK,ADK Holdings Inc.,（株）ADKホールディングス,
AOI Pro.,AOI,AOI Pro. Inc.,（株）AOI Pro.,
Apple,APL,Apple Inc.,,
blender inc.,BL,blender inc.,（株）blender,
C3Film,C3F,"C3Film Co., Ltd.",（株）シースリーフィルム,
CINQ,CINQ,"CINQ CO., LTD.",（株）サンク,
Connection,CNC,CONNECTION Inc.,コネクション（株）,
Cutters,CTS,CUTTERS STUDIOS TOKYO,,
Death of Bad,DOB,Death of Bad Inc.,,
Edison Light House,ELH,,有限会社エジソンライトハウス,
EDP graphic works,EDP,"EDP graphic works Co.,Ltd.",,
FLUX,FLX,FLUX Inc.,（株）FLUX,
GEEK,GEK,GEEK PICTURES INC.,（株）ギークピクチュアズ ,
GunsRock,GNR,GunsRock Inc.,（株） ガンズロック,
HAT,HAT,HAT Inc.,（株）ハット,
kiCk,KCK,kiCk inc.,（株）kiCk,
knockonwood,KOW,knockonwood Inc.,（株）ノックオンウッド,
MAL Tokyo,MAL,TBWA\Media Arts Lab Tokyo,（株） TBWA\HAKUHODO,
Mt. MELVIL (US),MLV,Mt. MELVIL,,
Mt. MELVIL (Japan),MMJ,,Mt.Melvil（株）,
NION,NIN,NION Inc.,（株）NION,
Nomad,NMD,Nomad TOKYO,Nomad TOKYO合同会社,
Ogilvy,OGV,Geometry Ogilvy Japan GK,ジオメトリー・オグルヴィ・ジャパン合同会社,
R/GA,RGA,R/GA,,
PT Sayap Kreatif Indonesia,SKI,PT Sayap Kreatif Indonesia,,
Reserve Tank SDN. BHD,RTS,Reserve Tank SDN. BHD,,
Robot,RBT,ROBOT COMMUNICATIONS INC.,（株）ロボット,
TCJ,TCJ,Television Corporation of Japan,（株）テイ・シー・ジェー,
TBWA\Hakuhodo,TH,TBWA\HAKUHODO Inc.,（株）TBWA HAKUHODO,
The One,ONE,,,Is this the right company name?
isai,ISA,isai Inc.,（株） イサイ,
THINGMEDIA,TM,THINGMEDIA Inc.,THINGMEDIA（株）,
TYO,TYO,TYO Inc.,（株）TYO,
ROCK’N ROLL JAPAN,RR,,ロックンロール・ジャパン（株）,
amana,AMN,amana inc.,（株）アマナ,
IMAGICA,IMG,IMAGICA Lab. Inc.,（株）IMAGICA Lab.,
EPOC,EPO,EPOCH Inc.,（株）EPOCH,
ellroy,ELR,ellroy Inc. ,（株）エルロイ,
Onion,ONI,Onion inc.,（株）オニオン,
SWIFT,SFT,,SWIFT（株）,
SODA!,SDA,SODA! Communications Inc.,（株）ソーダコミュニケーションズ,
NAGAIHOSHI,NGH,"NAGAIHOSHI Co., Ltd.",（株）ナガイホシ,
Paragon,PRG,,（株）パラゴン,
P.I.C.S.,PICS,"P.I.C.S. Co., Ltd.",（株）ピクス,
NIBAN-KOBO,NBK,,（株） 二番工房,
HAKUHODO,HHD,HAKUHODO Inc.,（株） 博報堂,
Hakuhodo Casting & Entertainment,HCE,,（株）博報堂キャスティング&エンタテインメント,
Hakuhodo Products,HKP,Hakuhodo Products Inc.,（株）博報堂プロダクツ,
Taiyo Kikaku,TK,"TAIKYO KIKAKU Co., Ltd.",太陽企画（株）,
Tohoku Shinsha,TFC,TOHOKUSHINSHA FILM CORPORATION,（株）東北新社,
Dentsu Creative X,DCX,Dentsu Creative X Inc.,（株）電通クリエーティブＸ,
Neu Inc.,NEU,neu inc.,（株）neu,
PlaySide Studios,PLY,PlaySide Studios,,
iloveyou,ILY,,月がきれい,
Dentsu Creative Cube,CB,Dentsu Creative Cube Inc.,（株）電通クリエーティブキューブ,
YAS,YAS,YAS Corporation,（株） YAS Corporation,
At Armz,AA,At Armz Inc.,（株）アットアームズ,
6 Seconds,SS,,（株）6秒企画,
NDC,NDC,"Nippon Design Center, Inc.",（株）日本デザインセンター,
Wieden+Kennedy,WK,Weiden + Kennedy Japan LLC,ワイデン・アンド・ケネディ・ジャパン・エル・エル・シー,
Dance Not Act,DNA,,（株）ダンスノットアクト,
BBmedia,BBM,BBmedia inc.,ビービーメディア（株）,
Dainichi,DNI,,（株）大日,
Y's,YS,Y’s Inc.,（株）Y’s,
 VIXI,VX,VIXI Inc.,（株）VIXI,
Whatever,WEV,Whatever Co.,（株）ワットエバー,
MEET and MEET,MAM,,（株） meet and meet,
NCP Creative,NP,"NCP CREATIVE CO., LTD",（株） エヌシーピークリエイティブ,
SOAR NY,SNY,,,
DOORS,DR,DOORS Inc.,（株）ドアーズ,
xpd,XPD,xpd Inc.,（株）xpd,
KOOK,KO,"KOOK Design Firm Co., Ltd.",（株）KOOK Design Firm,
Alice,ALC,Alice Inc.,（株）Alice,
GMO ENGINE,ENG,GMO ENGINE Inc.,GMO ENGINE（株）,旧社名 （株） ENGINE
KEY pro,KP,KEY pro INC.,（株） KEY pro,
SIMONE,SIM,SIMONE INC.,有限会社 SIMONE,
WTFC - Wherever,WHR,WTFC Inc.,（株）ダブル・ティー・エフ・シー,
CANDY FILM,CDF,Candy Film Inc.,（株）キャンディーフィルム,
HOPE,HOP,HOPE Inc.,HOPE（株）,
CyberAgent,CBA,"CyberAgent, Inc.",（株）サイバーエージェント,
Tape Inc,TPE,Tape Inc.,（株）Tape,
cRay,CRY,,（株）クレイ,